id,player_name,p_code,nationality,c_code,player_url,created_at,updated_at,gender
76,Zoltan Krasznai,zkras,HUN,HUN,/profile-bio/men/Zoltan_Krasznai/,,,M
77,Pierpaolo Gianfaldoni,pgian,ITA,ITA,/profile-bio/men/Pierpaolo_Gianfaldoni/,,,M
79,Francisco Morell,fmore,ESP,ESP,/profile-bio/men/Francisco_Morell/,,,M
82,Akemi Nishiya-Kinoshita,anish_2,Japan,JPN,/profile-bio/women/Akemi_Nishiya-Kinoshita/,,,F
83,Katharina Duell,kduel,Germany,DEU,/profile-bio/women/Katharina_Duell/,,,F
85,Ingrid Peltzer,ipelt,Germany,DEU,/profile-bio/women/Ingrid_Peltzer/,,,F
89,Tae-Hee Kong,thkon,KOR,XXX,/profile-bio/men/Tae-Hee_Kong/,,,M
90,Nina Erickson,neric,Sweden,SWE,/profile-bio/women/Nina_Erickson/,,,F
91,Lars Lampe,llamp,GER,DEU,/profile-bio/men/Lars_Lampe/,,,M
93,Ninoska Souto,nsout,Spain,ESP,/profile-bio/women/Ninoska_Souto/,,,F
94,Juan Garat,jgara,ARG,ARG,/profile-bio/men/Juan_Garat/,,,M
95,Gaby Coorengel,gcoor,Netherlands,NLD,/profile-bio/women/Gaby_Coorengel/,,,F
96,Diana Valenti,dvale,United States,USA,/profile-bio/women/Diana_Valenti/,,,F
98,Marius Barnard,mbarn,RSA,ZAF,/profile-bio/men/Marius_Barnard/,,,M
99,Manfred Jungnitsch,mjung,GER,DEU,/profile-bio/men/Manfred_Jungnitsch/,,,M
100,Jean Nabi,jnabi,CIV,XXX,/profile-bio/men/Jean_Nabi/,,,M
102,Mario Comanescu,mcoma,ROU,ROM,/profile-bio/men/Mario_Comanescu/,,,M
103,Sook-Ja Im,sjim,South Korea,XXX,/profile-bio/women/Sook-Ja_Im/,,,F
108,Joel Hoffman,jhoff,USA,USA,/profile-bio/men/Joel_Hoffman/,,,M
109,Victoria Milvidskaia,vmilv,XXX,XXX,/profile-bio/women/Victoria_Milvidskaia/,,,F
111,Stefan Vanemo,svane,SWE,SWE,/profile-bio/men/Stefan_Vanemo/,,,M
113,Paloma Collantes,pcoll,United States,USA,/profile-bio/women/Paloma_Collantes/,,,F
115,Edvaldo Oliveira,eoliv,BRA,BRA,/profile-bio/men/Edvaldo_Oliveira/,,,M
116,Dong-Hwan Lee,dhlee,KOR,XXX,/profile-bio/men/Dong-Hwan_Lee/,,,M
117,Bill Benjes,bbenj,USA,USA,/profile-bio/men/Bill_Benjes/,,,M
119,Miguel Tobon,mtobo,COL,COL,/profile-bio/men/Miguel_Tobon/,,,M
121,Cary Cohenour,ccohe_2,USA,USA,/profile-bio/men/Cary_Cohenour/,,,M
122,Dante Magnoni,dmagn,VEN,XXX,/profile-bio/men/Dante_Magnoni/,,,M
124,Tomasz Iwanski,tiwan,POL,POL,/profile-bio/men/Tomasz_Iwanski/,,,M
125,Maria Zsoldos,mzsol,Hungary,HUN,/profile-bio/women/Maria_Zsoldos/,,,F
126,Luciana Corsato-Owsianka,lcors_2,Brazil,BRA,/profile-bio/women/Luciana_Corsato-Owsianka/,,,F
127,Piet Norval,pnorv_2,RSA,ZAF,/profile-bio/men/Piet_Norval/,,,M
128,Phillipe Ventura,pvent,FRA,FRA,/profile-bio/men/Phillipe_Ventura/,,,M
133,Francesca Morini,fmori,Italy,ITA,/profile-bio/women/Francesca_Morini/,,,F
134,Alex De Felipe,adefe,ESP,ESP,/profile-bio/men/Alex_De_Felipe/,,,M
135,Abdul Kahar Mim,akaha,INA,IDN,/profile-bio/men/Abdul_Kahar_Mim/,,,M
136,Davide Sanguinetti,dsang_2,ITA,ITA,/profile-bio/men/Davide_Sanguinetti/,,,M
138,Francesco Ercoli,ferco,ITA,ITA,/profile-bio/men/Francesco_Ercoli/,,,M
